input size (n), operation count
4294963093, 157
4294963094, 157
4294963095, 158
4294963096, 156
4294963097, 157
4294963098, 157
4294963099, 158
4294963100, 157
4294963101, 158
4294963102, 158
4294963103, 159
4294963104, 155
4294963105, 156
4294963106, 156
4294963107, 157
4294963108, 156
4294963109, 157
4294963110, 157
4294963111, 158
4294963112, 156
4294963113, 157
4294963114, 157
4294963115, 158
4294963116, 157
4294963117, 158
4294963118, 158
4294963119, 159
4294963120, 156
4294963121, 157
4294963122, 157
4294963123, 158
4294963124, 157
4294963125, 158
4294963126, 158
4294963127, 159
4294963128, 157
4294963129, 158
4294963130, 158
4294963131, 159
4294963132, 158
4294963133, 159
4294963134, 159
4294963135, 160
4294963136, 155
4294963137, 156
4294963138, 156
4294963139, 157
4294963140, 156
4294963141, 157
4294963142, 157
4294963143, 158
4294963144, 156
4294963145, 157
4294963146, 157
4294963147, 158
4294963148, 157
4294963149, 158
4294963150, 158
4294963151, 159
4294963152, 156
4294963153, 157
4294963154, 157
4294963155, 158
4294963156, 157
4294963157, 158
4294963158, 158
4294963159, 159
4294963160, 157
4294963161, 158
4294963162, 158
4294963163, 159
4294963164, 158
4294963165, 159
4294963166, 159
4294963167, 160
4294963168, 156
4294963169, 157
4294963170, 157
4294963171, 158
4294963172, 157
4294963173, 158
4294963174, 158
4294963175, 159
4294963176, 157
4294963177, 158
4294963178, 158
4294963179, 159
4294963180, 158
4294963181, 159
4294963182, 159
4294963183, 160
4294963184, 157
4294963185, 158
4294963186, 158
4294963187, 159
4294963188, 158
4294963189, 159
4294963190, 159
4294963191, 160
4294963192, 158
4294963193, 159
4294963194, 159
4294963195, 160
4294963196, 159
4294963197, 160
4294963198, 160
4294963199, 161
4294963200, 150
4294963201, 151
4294963202, 151
4294963203, 152
4294963204, 151
4294963205, 152
4294963206, 152
4294963207, 153
4294963208, 151
4294963209, 152
4294963210, 152
4294963211, 153
4294963212, 152
4294963213, 153
4294963214, 153
4294963215, 154
4294963216, 151
4294963217, 152
4294963218, 152
4294963219, 153
4294963220, 152
4294963221, 153
4294963222, 153
4294963223, 154
4294963224, 152
4294963225, 153
4294963226, 153
4294963227, 154
4294963228, 153
4294963229, 154
4294963230, 154
4294963231, 155
4294963232, 151
4294963233, 152
4294963234, 152
4294963235, 153
4294963236, 152
4294963237, 153
4294963238, 153
4294963239, 154
4294963240, 152
4294963241, 153
4294963242, 153
4294963243, 154
4294963244, 153
4294963245, 154
4294963246, 154
4294963247, 155
4294963248, 152
4294963249, 153
4294963250, 153
4294963251, 154
4294963252, 153
4294963253, 154
4294963254, 154
4294963255, 155
4294963256, 153
4294963257, 154
4294963258, 154
4294963259, 155
4294963260, 154
4294963261, 155
4294963262, 155
4294963263, 156
4294963264, 151
4294963265, 152
4294963266, 152
4294963267, 153
4294963268, 152
4294963269, 153
4294963270, 153
4294963271, 154
4294963272, 152
4294963273, 153
4294963274, 153
4294963275, 154
4294963276, 153
4294963277, 154
4294963278, 154
4294963279, 155
4294963280, 152
4294963281, 153
4294963282, 153
4294963283, 154
4294963284, 153
4294963285, 154
4294963286, 154
4294963287, 155
4294963288, 153
4294963289, 154
4294963290, 154
4294963291, 155
4294963292, 154
4294963293, 155
4294963294, 155
4294963295, 156
4294963296, 152
4294963297, 153
4294963298, 153
4294963299, 154
4294963300, 153
4294963301, 154
4294963302, 154
4294963303, 155
4294963304, 153
4294963305, 154
4294963306, 154
4294963307, 155
4294963308, 154
4294963309, 155
4294963310, 155
4294963311, 156
4294963312, 153
4294963313, 154
4294963314, 154
4294963315, 155
4294963316, 154
4294963317, 155
4294963318, 155
4294963319, 156
4294963320, 154
4294963321, 155
4294963322, 155
4294963323, 156
4294963324, 155
4294963325, 156
4294963326, 156
4294963327, 157
4294963328, 151
4294963329, 152
4294963330, 152
4294963331, 153
4294963332, 152
4294963333, 153
4294963334, 153
4294963335, 154
4294963336, 152
4294963337, 153
4294963338, 153
4294963339, 154
4294963340, 153
4294963341, 154
4294963342, 154
4294963343, 155
4294963344, 152
4294963345, 153
4294963346, 153
4294963347, 154
4294963348, 153
4294963349, 154
4294963350, 154
4294963351, 155
4294963352, 153
4294963353, 154
4294963354, 154
4294963355, 155
4294963356, 154
4294963357, 155
4294963358, 155
4294963359, 156
4294963360, 152
4294963361, 153
4294963362, 153
4294963363, 154
4294963364, 153
4294963365, 154
4294963366, 154
4294963367, 155
4294963368, 153
4294963369, 154
4294963370, 154
4294963371, 155
4294963372, 154
4294963373, 155
4294963374, 155
4294963375, 156
4294963376, 153
4294963377, 154
4294963378, 154
4294963379, 155
4294963380, 154
4294963381, 155
4294963382, 155
4294963383, 156
4294963384, 154
4294963385, 155
4294963386, 155
4294963387, 156
4294963388, 155
4294963389, 156
4294963390, 156
4294963391, 157
4294963392, 152
4294963393, 153
4294963394, 153
4294963395, 154
4294963396, 153
4294963397, 154
4294963398, 154
4294963399, 155
4294963400, 153
4294963401, 154
4294963402, 154
4294963403, 155
4294963404, 154
4294963405, 155
4294963406, 155
4294963407, 156
4294963408, 153
4294963409, 154
4294963410, 154
4294963411, 155
4294963412, 154
4294963413, 155
4294963414, 155
4294963415, 156
4294963416, 154
4294963417, 155
4294963418, 155
4294963419, 156
4294963420, 155
4294963421, 156
4294963422, 156
4294963423, 157
4294963424, 153
4294963425, 154
4294963426, 154
4294963427, 155
4294963428, 154
4294963429, 155
4294963430, 155
4294963431, 156
4294963432, 154
4294963433, 155
4294963434, 155
4294963435, 156
4294963436, 155
4294963437, 156
4294963438, 156
4294963439, 157
4294963440, 154
4294963441, 155
4294963442, 155
4294963443, 156
4294963444, 155
4294963445, 156
4294963446, 156
4294963447, 157
4294963448, 155
4294963449, 156
4294963450, 156
4294963451, 157
4294963452, 156
4294963453, 157
4294963454, 157
4294963455, 158
4294963456, 151
4294963457, 152
4294963458, 152
4294963459, 153
4294963460, 152
4294963461, 153
4294963462, 153
4294963463, 154
4294963464, 152
4294963465, 153
4294963466, 153
4294963467, 154
4294963468, 153
4294963469, 154
4294963470, 154
4294963471, 155
4294963472, 152
4294963473, 153
4294963474, 153
4294963475, 154
4294963476, 153
4294963477, 154
4294963478, 154
4294963479, 155
4294963480, 153
4294963481, 154
4294963482, 154
4294963483, 155
4294963484, 154
4294963485, 155
4294963486, 155
4294963487, 156
4294963488, 152
4294963489, 153
4294963490, 153
4294963491, 154
4294963492, 153
4294963493, 154
4294963494, 154
4294963495, 155
4294963496, 153
4294963497, 154
4294963498, 154
4294963499, 155
4294963500, 154
4294963501, 155
4294963502, 155
4294963503, 156
4294963504, 153
4294963505, 154
4294963506, 154
4294963507, 155
4294963508, 154
4294963509, 155
4294963510, 155
4294963511, 156
4294963512, 154
4294963513, 155
4294963514, 155
4294963515, 156
4294963516, 155
4294963517, 156
4294963518, 156
4294963519, 157
4294963520, 152
4294963521, 153
4294963522, 153
4294963523, 154
4294963524, 153
4294963525, 154
4294963526, 154
4294963527, 155
4294963528, 153
4294963529, 154
4294963530, 154
4294963531, 155
4294963532, 154
4294963533, 155
4294963534, 155
4294963535, 156
4294963536, 153
4294963537, 154
4294963538, 154
4294963539, 155
4294963540, 154
4294963541, 155
4294963542, 155
4294963543, 156
4294963544, 154
4294963545, 155
4294963546, 155
4294963547, 156
4294963548, 155
4294963549, 156
4294963550, 156
4294963551, 157
4294963552, 153
4294963553, 154
4294963554, 154
4294963555, 155
4294963556, 154
4294963557, 155
4294963558, 155
4294963559, 156
4294963560, 154
4294963561, 155
4294963562, 155
4294963563, 156
4294963564, 155
4294963565, 156
4294963566, 156
4294963567, 157
4294963568, 154
4294963569, 155
4294963570, 155
4294963571, 156
4294963572, 155
4294963573, 156
4294963574, 156
4294963575, 157
4294963576, 155
4294963577, 156
4294963578, 156
4294963579, 157
4294963580, 156
4294963581, 157
4294963582, 157
4294963583, 158
4294963584, 152
4294963585, 153
4294963586, 153
4294963587, 154
4294963588, 153
4294963589, 154
4294963590, 154
4294963591, 155
4294963592, 153
4294963593, 154
4294963594, 154
4294963595, 155
4294963596, 154
4294963597, 155
4294963598, 155
4294963599, 156
4294963600, 153
4294963601, 154
4294963602, 154
4294963603, 155
4294963604, 154
4294963605, 155
4294963606, 155
4294963607, 156
4294963608, 154
4294963609, 155
4294963610, 155
4294963611, 156
4294963612, 155
4294963613, 156
4294963614, 156
4294963615, 157
4294963616, 153
4294963617, 154
4294963618, 154
4294963619, 155
4294963620, 154
4294963621, 155
4294963622, 155
4294963623, 156
4294963624, 154
4294963625, 155
4294963626, 155
4294963627, 156
4294963628, 155
4294963629, 156
4294963630, 156
4294963631, 157
4294963632, 154
4294963633, 155
4294963634, 155
4294963635, 156
4294963636, 155
4294963637, 156
4294963638, 156
4294963639, 157
4294963640, 155
4294963641, 156
4294963642, 156
4294963643, 157
4294963644, 156
4294963645, 157
4294963646, 157
4294963647, 158
4294963648, 153
4294963649, 154
4294963650, 154
4294963651, 155
4294963652, 154
4294963653, 155
4294963654, 155
4294963655, 156
4294963656, 154
4294963657, 155
4294963658, 155
4294963659, 156
4294963660, 155
4294963661, 156
4294963662, 156
4294963663, 157
4294963664, 154
4294963665, 155
4294963666, 155
4294963667, 156
4294963668, 155
4294963669, 156
4294963670, 156
4294963671, 157
4294963672, 155
4294963673, 156
4294963674, 156
4294963675, 157
4294963676, 156
4294963677, 157
4294963678, 157
4294963679, 158
4294963680, 154
4294963681, 155
4294963682, 155
4294963683, 156
4294963684, 155
4294963685, 156
4294963686, 156
4294963687, 157
4294963688, 155
4294963689, 156
4294963690, 156
4294963691, 157
4294963692, 156
4294963693, 157
4294963694, 157
4294963695, 158
4294963696, 155
4294963697, 156
4294963698, 156
4294963699, 157
4294963700, 156
4294963701, 157
4294963702, 157
4294963703, 158
4294963704, 156
4294963705, 157
4294963706, 157
4294963707, 158
4294963708, 157
4294963709, 158
4294963710, 158
4294963711, 159
4294963712, 151
4294963713, 152
4294963714, 152
4294963715, 153
4294963716, 152
4294963717, 153
4294963718, 153
4294963719, 154
4294963720, 152
4294963721, 153
4294963722, 153
4294963723, 154
4294963724, 153
4294963725, 154
4294963726, 154
4294963727, 155
4294963728, 152
4294963729, 153
4294963730, 153
4294963731, 154
4294963732, 153
4294963733, 154
4294963734, 154
4294963735, 155
4294963736, 153
4294963737, 154
4294963738, 154
4294963739, 155
4294963740, 154
4294963741, 155
4294963742, 155
4294963743, 156
4294963744, 152
4294963745, 153
4294963746, 153
4294963747, 154
4294963748, 153
4294963749, 154
4294963750, 154
4294963751, 155
4294963752, 153
4294963753, 154
4294963754, 154
4294963755, 155
4294963756, 154
4294963757, 155
4294963758, 155
4294963759, 156
4294963760, 153
4294963761, 154
4294963762, 154
4294963763, 155
4294963764, 154
4294963765, 155
4294963766, 155
4294963767, 156
4294963768, 154
4294963769, 155
4294963770, 155
4294963771, 156
4294963772, 155
4294963773, 156
4294963774, 156
4294963775, 157
4294963776, 152
4294963777, 153
4294963778, 153
4294963779, 154
4294963780, 153
4294963781, 154
4294963782, 154
4294963783, 155
4294963784, 153
4294963785, 154
4294963786, 154
4294963787, 155
4294963788, 154
4294963789, 155
4294963790, 155
4294963791, 156
4294963792, 153
4294963793, 154
4294963794, 154
4294963795, 155
4294963796, 154
4294963797, 155
4294963798, 155
4294963799, 156
4294963800, 154
4294963801, 155
4294963802, 155
4294963803, 156
4294963804, 155
4294963805, 156
4294963806, 156
4294963807, 157
4294963808, 153
4294963809, 154
4294963810, 154
4294963811, 155
4294963812, 154
4294963813, 155
4294963814, 155
4294963815, 156
4294963816, 154
4294963817, 155
4294963818, 155
4294963819, 156
4294963820, 155
4294963821, 156
